movieLink,movieID,name,AdjustedDomesticGross,ReleaseDate,Distributor,Genre,Budget,_merge,Release_Year,Release_Month,Year,w2_$_change,w2_rank_change,w3_$_change,w3_rank_change,w_1_date,w_1_gross,w_1_rank,w_2_date,w_2_gross,w_2_rank,w_3_date,w_3_gross,w_3_rank,Major_Genre,w1_$_drop,budget_val,adjusted_budget,abs_profit,rel_profit,w_1_success,w_1_and_2_success
/movies/?id=humtomohabbtkarega.htm,id=humtomohabbtkarega.htm,Hum to Mohabbt Karega,118000.0,2000-05-26,Eros,Unknown,,both,2000.0,5.0,2000.0,,,,,May 26-29,118000.0,53.0,,,,,,,Other,,,,,,,
/movies/?id=liberator.htm,id=liberator.htm,The Liberator,118000.0,2014-10-03,Cohen Media Group,Foreign,,both,2014.0,10.0,2014.0,-78.8,-26.0,,,Oct 3-5,71100.0,44.0,Oct 10-12,15100.0,70.0,,,,Other,56000.0,,,,,,
/movies/?id=loveisallthereis.htm,id=loveisallthereis.htm,Love Is All There Is,118000.0,1996-10-11,Samuel Goldwyn,Unknown,,both,1996.0,10.0,1996.0,,,,,Oct 11-13,62800.0,,,,,,,,Other,,,,,,,
/movies/?id=nedkelly.htm,id=nedkelly.htm,Ned Kelly,118000.0,2004-03-26,Focus Features,Unknown,,both,2004.0,3.0,2004.0,-65.1,-27.0,-84.7,,Mar 26-28,59300.0,58.0,Apr 2-4,20700.0,85.0,Apr 9-11,3200.0,,Other,38600.0,,,,,,
/movies/?id=godthefather.htm,id=godthefather.htm,God the Father,118200.0,2014-10-17,Rocky Mountain Pictures,Documentary,,both,2014.0,10.0,2014.0,,,,,Oct 17-19,15300.0,70.0,,,,Oct 31-Nov 2,53400.0,47.0,Other,,,,,,,
/movies/?id=betty.htm,id=betty.htm,Betty,118300.0,1993-08-20,MK2 USA,Foreign,,both,1993.0,8.0,1993.0,,,,,Aug 20-22,10700.0,,,,,,,,Other,,,,,,,
/movies/?id=loveliveschoolidolmovie.htm,id=loveliveschoolidolmovie.htm,Love Live! The School Idol Movie,118400.0,2015-09-11,Azoland,Animation,,both,2015.0,9.0,2015.0,,,,,Sep 11-13,118400.0,,,,,,,,Animation,,,,,,,
/movies/?id=burn2012.htm,id=burn2012.htm,Burn (2012),118500.0,2012-11-09,Area23a,Documentary,,both,2012.0,11.0,2012.0,,,,,Nov 9-11,2100.0,93.0,,,,Dec 7-9,57000.0,41.0,Other,,,,,,,
/movies/?id=crossingtheline.htm,id=crossingtheline.htm,Crossing the Line (1991),118600.0,1991-08-09,Miramax,Crime Drama,,both,1991.0,8.0,1991.0,,,,,Aug 9-11,10500.0,,,,,,,,Drama/Thriller,,,,,,,
/movies/?id=somersault.htm,id=somersault.htm,Somersault,118700.0,2006-04-21,Magnolia,Drama,,both,2006.0,4.0,2006.0,-62.4,-19.0,,,Apr 21-23,27800.0,63.0,Apr 28-30,10400.0,82.0,,,,Drama/Thriller,17400.0,,,,,,
/movies/?id=bestworstmovie.htm,id=bestworstmovie.htm,Best Worst Movie,118800.0,2010-04-23,Abramorama,Documentary,,both,2010.0,4.0,2010.0,-66.0,-14.0,,,Apr 23-25,5900.0,81.0,Apr 30-May 2,2000.0,95.0,,,,Other,3900.0,,,,,,
/movies/?id=invincible.htm,id=invincible.htm,Invincible (2002),118900.0,2002-09-20,Fine Line,Unknown,,both,2002.0,9.0,2002.0,-7.4,2.0,32.8,9.0,Sep 20-22,20700.0,85.0,Sep 27-29,19200.0,83.0,Oct 4-6,25500.0,74.0,Other,1500.0,,,,,,
/movies/?id=marwencol.htm,id=marwencol.htm,Marwencol,118900.0,2010-10-08,Cinema Guild,Documentary,,both,2010.0,10.0,2010.0,-30.5,-8.0,-41.5,2.0,Oct 8-10,3400.0,97.0,Oct 15-17,2400.0,105.0,Oct 22-24,1400.0,103.0,Other,1000.0,,,,,,
/movies/?id=dogtooth.htm,id=dogtooth.htm,Dogtooth,119100.0,2010-06-25,Kino,Foreign,,both,2010.0,6.0,2010.0,,,,,Jun 25-27,7200.0,73.0,,,,Jul 9-11,6400.0,72.0,Other,,,,,,,
/movies/?id=womaninthefifth.htm,id=womaninthefifth.htm,The Woman in the Fifth,119100.0,2012-06-15,ATO Pictures,Thriller,,both,2012.0,6.0,2012.0,-17.9,-3.0,-74.1,-16.0,Jun 15-17,34300.0,47.0,Jun 22-24,28100.0,50.0,Jun 29-Jul 1,7600.0,66.0,Drama/Thriller,6200.0,,,,,,
/movies/?id=zeromotivation.htm,id=zeromotivation.htm,Zero Motivation,119100.0,2014-12-03,Zeitgeist,Foreign,,both,2014.0,12.0,2014.0,102.0,9.0,-68.6,-3.0,Dec 5-7,9600.0,60.0,Dec 12-14,19300.0,51.0,Dec 19-21,6100.0,54.0,Other,-9700.0,,,,,,
/movies/?id=blackgold.htm,id=blackgold.htm,Black Gold,119200.0,2006-10-06,California Newsreel,Documentary,,both,2006.0,10.0,2006.0,-4.7,-7.0,-79.8,-16.0,Oct 6-8,8700.0,81.0,Oct 13-15,8300.0,88.0,Oct 20-22,1700.0,104.0,Other,400.0,,,,,,
/movies/?id=seeingotherpeople.htm,id=seeingotherpeople.htm,Seeing Other People,119400.0,2004-05-07,Lantern Lane,Unknown,,both,2004.0,5.0,2004.0,-59.7,-27.0,-56.2,-10.0,May 7-9,51800.0,64.0,May 14-16,20900.0,91.0,May 21-23,9200.0,101.0,Other,30900.0,,,,,,
/movies/?id=waywegetby.htm,id=waywegetby.htm,The Way We Get By,119400.0,2009-07-17,International Film Circuit,Documentary,,both,2009.0,7.0,2009.0,,,,,Jul 17-19,8100.0,71.0,,,,Jul 31-Aug 2,1800.0,98.0,Other,,,,,,,
